5UTR	mut	treatment	ID	target	ct
grp	mel	NaAsO2	grp-As-mel5	fluc	22.46370888
grp	mel	NaAsO2	grp-As-mel6	fluc	22.53879166
grp	sim	H2O	grp-sim1	Rluc	22.83367348
grp	sim	H2O	grp-sim2	Rluc	22.39161682
grp	sim	H2O	grp-sim3	Rluc	22.7076416
grp	sim	H2O	grp-sim4	Rluc	23.0616703
grp	sim	H2O	grp-sim5	Rluc	22.60534668
grp	sim	H2O	grp-sim6	Rluc	22.81370354
grp	sim	NaAsO2	grp-As-sim1	Rluc	22.43741226
grp	sim	NaAsO2	grp-As-sim2	Rluc	22.14823151
grp	sim	NaAsO2	grp-As-sim3	Rluc	22.21309853
grp	sim	NaAsO2	grp-As-sim4	Rluc	22.19106674
grp	sim	NaAsO2	grp-As-sim5	Rluc	22.87085533
grp	sim	NaAsO2	grp-As-sim6	Rluc	22.96139336
grp	sim	H2O	grp-sim1	Rluc	22.94288063
grp	sim	H2O	grp-sim2	Rluc	22.3305397
grp	sim	H2O	grp-sim3	Rluc	22.64260864
grp	sim	H2O	grp-sim4	Rluc	23.03089142
grp	sim	H2O	grp-sim5	Rluc	22.54533958
grp	sim	H2O	grp-sim6	Rluc	22.70887375
grp	sim	NaAsO2	grp-As-sim1	Rluc	22.4727211
grp	sim	NaAsO2	grp-As-sim2	Rluc	22.13532639
grp	sim	NaAsO2	grp-As-sim3	Rluc	22.19945145
grp	sim	NaAsO2	grp-As-sim4	Rluc	22.22392082
grp	sim	NaAsO2	grp-As-sim5	Rluc	22.92042542
grp	sim	NaAsO2	grp-As-sim6	Rluc	22.91786766
grp	sim	H2O	grp-sim1	fluc	22.49983788
grp	sim	H2O	grp-sim2	fluc	22.09363937
grp	sim	H2O	grp-sim3	fluc	22.28098106
grp	sim	H2O	grp-sim4	fluc	22.62003326
grp	sim	H2O	grp-sim5	fluc	22.26715469
grp	sim	H2O	grp-sim6	fluc	22.51733589
grp	sim	NaAsO2	grp-As-sim1	fluc	22.12521172
grp	sim	NaAsO2	grp-As-sim2	fluc	22.8616581
grp	sim	NaAsO2	grp-As-sim3	fluc	21.95591736
grp	sim	NaAsO2	grp-As-sim4	fluc	21.9557724
grp	sim	NaAsO2	grp-As-sim5	fluc	22.59952545
grp	sim	NaAsO2	grp-As-sim6	fluc	22.92531395
grp	sim	H2O	grp-sim1	fluc	22.49678993
grp	sim	H2O	grp-sim2	fluc	22.31552124
grp	sim	H2O	grp-sim3	fluc	22.33798981
grp	sim	H2O	grp-sim4	fluc	22.70422745
grp	sim	H2O	grp-sim5	fluc	22.85293579
grp	sim	H2O	grp-sim6	fluc	22.47337341
grp	sim	NaAsO2	grp-As-sim1	fluc	22.16452026
grp	sim	NaAsO2	grp-As-sim2	fluc	21.94369507
grp	sim	NaAsO2	grp-As-sim3	fluc	22.05054092
grp	sim	NaAsO2	grp-As-sim4	fluc	21.944664
grp	sim	NaAsO2	grp-As-sim5	fluc	22.69734573
grp	sim	NaAsO2	grp-As-sim6	fluc	22.63181305
