5UTR	mut	treatment	ID	target	ct
fz	mel	NaAsO2	fz-As-mel5	fluc	23.34134293
fz	mel	NaAsO2	fz-As-mel6	fluc	23.21141243
fz	yak	NaAsO2	fz-As-yak1	fluc	22.76794052
fz	yak	NaAsO2	fz-As-yak2	fluc	22.62643623
fz	yak	NaAsO2	fz-As-yak3	fluc	22.4711647
fz	yak	NaAsO2	fz-As-yak4	fluc	23.17246056
fz	yak	NaAsO2	fz-As-yak5	fluc	23.08941269
fz	mel	NaAsO2	fz-As-mel1	fluc	22.91649437
fz	mel	NaAsO2	fz-As-mel2	fluc	22.92657471
fz	mel	NaAsO2	fz-As-mel3	fluc	23.00490189
fz	mel	NaAsO2	fz-As-mel4	fluc	23.1469841
fz	mel	NaAsO2	fz-As-mel5	fluc	23.56542206
fz	mel	NaAsO2	fz-As-mel6	fluc	23.33274078
fz	yak	NaAsO2	fz-As-yak1	fluc	22.48090363
fz	yak	NaAsO2	fz-As-yak2	fluc	22.66134644
fz	yak	NaAsO2	fz-As-yak3	fluc	22.71811295
fz	yak	NaAsO2	fz-As-yak4	fluc	23.20878601
fz	yak	NaAsO2	fz-As-yak5	fluc	22.98999214
fz	sim	NaAsO2	fz-As-sim1	Rluc	23.6362114
fz	sim	NaAsO2	fz-As-sim2	Rluc	23.11632347
fz	sim	NaAsO2	fz-As-sim3	Rluc	23.70873451
fz	sim	NaAsO2	fz-As-sim4	Rluc	23.48033524
fz	sim	NaAsO2	fz-As-sim5	Rluc	23.29291725
fz	sim	NaAsO2	fz-As-sim6	Rluc	23.9456749
fz	sim	NaAsO2	fz-As-sim1	Rluc	23.62817001
fz	sim	NaAsO2	fz-As-sim2	Rluc	22.96180153
fz	sim	NaAsO2	fz-As-sim3	Rluc	23.29882431
fz	sim	NaAsO2	fz-As-sim4	Rluc	23.16127014
fz	sim	NaAsO2	fz-As-sim5	Rluc	23.13076782
fz	sim	NaAsO2	fz-As-sim6	Rluc	23.61390305
fz	sim	NaAsO2	fz-As-sim1	fluc	23.29319191
fz	sim	NaAsO2	fz-As-sim2	fluc	23.25657845
fz	sim	NaAsO2	fz-As-sim3	fluc	23.0860672
fz	sim	NaAsO2	fz-As-sim4	fluc	23.42284393
fz	sim	NaAsO2	fz-As-sim5	fluc	23.35820961
fz	sim	NaAsO2	fz-As-sim6	fluc	23.707201
fz	sim	NaAsO2	fz-As-sim1	fluc	23.24869728
fz	sim	NaAsO2	fz-As-sim2	fluc	23.43877411
fz	sim	NaAsO2	fz-As-sim3	fluc	23.4621563
fz	sim	NaAsO2	fz-As-sim4	fluc	23.45020103
fz	sim	NaAsO2	fz-As-sim5	fluc	23.86019135
fz	sim	NaAsO2	fz-As-sim6	fluc	23.68253899
